left_shop,left_brand,left_productName,left_price,rightShop,right_brand,rightName,rightPrice,label,productUrlLeft,productUrlRight,id
Colruyt,LINDT EXCELLENCE,99% cacao,2.29,Delhaize,Lindt,Chocolade | 99% cacao | Noir absolu | Tablet,2.79,1,https://www.colruyt.be/nl/producten/99%-cacao-51030,https://www.delhaize.be/nl-be/shop/Zoete-kruidenierswaren/Chocolade/Andere/Chocolade-99-cacao-Noir-absolu-Tablet/p/S2001040300062560000,5138
Colruyt,LINDT EXCELLENCE,99% cacao,2.29,Delhaize,Werther's Original,Snoepjes | Tedere Karamel,2.15,0,https://www.colruyt.be/nl/producten/99%-cacao-51030,https://www.delhaize.be/nl-be/shop/Zoete-kruidenierswaren/Snoep/Snoepgoed/Snoepjes-Tedere-Karamel/p/S2016012603622390000,5139
Colruyt,LINDT EXCELLENCE,orange intense,1.89,Delhaize,Kathy,Snoepjes | Gelei | Fruit,1.69,0,https://www.colruyt.be/nl/producten/orange-intense-13023,https://www.delhaize.be/nl-be/shop/Zoete-kruidenierswaren/Snoep/Snoepgoed/Snoepjes-Gelei-Fruit/p/S1991040800074980000,5140
Colruyt,LINDT EXCELLENCE,orange intense,1.89,Delhaize,Lindt,Chocolade | Sinaasappel puur intense,2.25,1,https://www.colruyt.be/nl/producten/orange-intense-13023,https://www.delhaize.be/nl-be/shop/Zoete-kruidenierswaren/Chocolade/Andere/Chocolade-Sinaasappel-puur-intense/p/S2008051500062430000,5141
Colruyt,LIPTON,Camomile infusion,2.59,Carrefour,,Fromager d'Affinois Brin 150 g,3.09,0,https://www.colruyt.be/nl/producten/camomile-infusion-22257,https://drive.carrefour.be/nl//Verse-producten/Zuivel/Kazen/Camembert-%26-brie/Le-Brin%7CFromager-d%27Affinois-Brin-150-g/p/00196246,5142
Colruyt,LIPTON,Camomile infusion,2.59,Carrefour,Lipton,Infusion Camomile 14 g,2.75,1,https://www.colruyt.be/nl/producten/camomile-infusion-22257,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Kruidenthee/Lipton%7CInfusion-Camomile-14-g/p/06703207,5143
Colruyt,LIPTON,Earl grey,3.51,Carrefour,Carrefour,Bio Vanilledessert 4 x 95 g,1.69,0,https://www.colruyt.be/nl/producten/earl-grey-24780,https://drive.carrefour.be/nl//Verse-producten/Zuivel/Desserten/Pudding/Carrefour-Bio%7CVanilledessert-4-x-95-g/p/06392446,5144
Colruyt,LIPTON,Earl grey,3.51,Carrefour,Lipton,Zwarte thee Earl Grey 50 theezakjes,3.92,1,https://www.colruyt.be/nl/producten/earl-grey-24780,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Kruidenthee/Lipton%7CZwarte-thee-Earl-Grey-50-theezakjes/p/06703127,5145
Colruyt,LIPTON,Green tea Bright citrus,2.32,Carrefour,Carrefour,Selection Espresso Nocciolita 10 Capsules 52 g,2.39,0,https://www.colruyt.be/nl/producten/green-tea-bright citrus-22209,https://drive.carrefour.be/nl//Kruidenierswaren/Ontbijt/Koffie/Nespresso-compatibel-Capsules/Carrefour-Selection%7CEspresso-Nocciolita-10-Capsules-52-g/p/06746659,5146
Colruyt,LIPTON,Green tea Bright citrus,2.32,Carrefour,Lipton,Groene Thee Citrus 20 Theezakjes,2.75,1,https://www.colruyt.be/nl/producten/green-tea-bright citrus-22209,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Thee/Lipton%7CGroene-Thee-Citrus-20-Theezakjes/p/06703251,5147
Colruyt,LIPTON,Green Tea Indonesian Sencha,1.39,Carrefour,Carrefour,Bio Extra Confituur Abrikoos 360 g,1.99,0,https://www.colruyt.be/nl/producten/green-tea-indonesian sencha-6733,https://drive.carrefour.be/nl//Kruidenierswaren/Ontbijt/Broodbeleg/Confituur/Carrefour-Bio%7CBio-Extra-Confituur-Abrikoos-360-g/p/06529268,5148
Colruyt,LIPTON,Green Tea Indonesian Sencha,1.39,Carrefour,Lipton,Pyramides Groene thee Sencha 20 theezakjes,2.75,1,https://www.colruyt.be/nl/producten/green-tea-indonesian sencha-6733,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Thee/Lipton%7CPyramides-Groene-thee-Sencha-20-theezakjes/p/06703148,5149
Colruyt,LIPTON,Green Tea Intense Mint,1.79,Carrefour,Lipton,Pyramide Groene three Munt 20 zakjes,2.75,1,https://www.colruyt.be/nl/producten/green-tea-intense mint-7140,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Kruidenthee/Lipton%7CPyramide-Groene-three-Munt-20-zakjes/p/06703149,5150
Colruyt,LIPTON,Green Tea Intense Mint,1.79,Carrefour,L'Italie des Fromages,Burrata 250 g,4,0,https://www.colruyt.be/nl/producten/green-tea-intense mint-7140,https://drive.carrefour.be/nl//Verse-producten/Zuivel/Kazen/Mozzarella%2C-Mascarpone-%26-Ricotta/Mozzarella/L%27Italie-des-Fromages%7CBurrata-250-g/p/05343926,5151
Colruyt,LIPTON,Ice T. Raspb-Cherryblos. PET,0.715,Delhaize,Lenor,Un Stoppables | Parfum kralen | Was | Active | 16DS,8.29,0,https://www.colruyt.be/nl/producten/ice-t.-raspb-cherryblos. pet-24822,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Kralen/Un-Stoppables-Parfum-kralen-Was-Active-16DS/p/S2021010800488540000,5152
Colruyt,LIPTON,Ice T. Raspb-Cherryblos. PET,0.715,Delhaize,Lipton,Ijsthee | Framboos | Kersenbloesem | PET,4.29,1,https://www.colruyt.be/nl/producten/ice-t.-raspb-cherryblos. pet-24822,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Anderen/Ijsthee-Framboos-Kersenbloesem-PET/p/S2021011500494780099,5153
Colruyt,LIPTON,Ice Tea Green,0.686,Delhaize,Delhaize,Kippenlapjes | Paprika,5.69,0,https://www.colruyt.be/nl/producten/ice-tea-green-5486,https://www.delhaize.be/nl-be/shop/Vlees-vis-en-vegetarische-producten/Gevogelte-en-konijn/Kip/Kip-voor-op-de-barbecue/Kippenlapjes-Paprika/p/F2021030900078050000,5154
Colruyt,LIPTON,Ice Tea Green,0.686,Delhaize,Lipton,Ice Tea | Green | Niet Bruisend | Sleek Can,5.89,1,https://www.colruyt.be/nl/producten/ice-tea-green-5486,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Green/Ice-Tea-Green-Niet-Bruisend-Sleek-Can/p/S2018121700021260095,5155
Colruyt,LIPTON,Ice Tea Green,1.98,Delhaize,Lipton,| Perzik | Zero,6.99,0,https://www.colruyt.be/nl/producten/ice-tea-green-5843,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Peche/Lipton-Perzik-Zero/p/S2020042800424670099,5156
Colruyt,LIPTON,Ice Tea Green,1.98,Delhaize,Lipton,IJsthee | Groen | Niet bruisend | PET,12.49,1,https://www.colruyt.be/nl/producten/ice-tea-green-5843,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Green/IJsthee-Groen-Niet-bruisend-PET/p/S2018122002194240097,5157
Colruyt,LIPTON,Ice Tea Green niet-bruisend,0.95,Delhaize,Lipton,Ice Tea | Green | Niet Bruisend | PET,9.15,1,https://www.colruyt.be/nl/producten/ice-tea-green niet-bruisend-18435,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Green/Ice-Tea-Green-Niet-Bruisend-PET/p/S2018121702194450096,5158
Colruyt,LIPTON,Ice Tea Green niet-bruisend,0.95,Delhaize,Lipton,Ijsthee | Groene munt | Limoen,4.29,0,https://www.colruyt.be/nl/producten/ice-tea-green niet-bruisend-18435,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Green/Ijsthee-Groene-munt-Limoen/p/S2021012700501620099,5159
Colruyt,LIPTON,Ice Tea Original bruisend,0.59,Delhaize,Lipton,Bruisende Ijsthee | Original | 8x33 cl,6.55,1,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-5350,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Original/Bruisende-Ijsthee-Original-8x33-cl/p/S2019102800317940099,5160
Colruyt,LIPTON,Ice Tea Original bruisend,0.59,Delhaize,Vanish,Vlekkenverwjideraar | Gel | Wit,7.39,0,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-5350,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Wasverzorging/Vlekverwijderaars/Vlekkenverwjideraar-Gel-Wit/p/S2020032500413170000,5161
Colruyt,LIPTON,Ice Tea Original bruisend,0.606,Delhaize,Lipton,Bruisende Ijsthee | Original | 12x15 cl,7.39,1,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-22143,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Original/Bruisende-Ijsthee-Original-12x15-cl/p/S2019030600181570099,5162
Colruyt,LIPTON,Ice Tea Original bruisend,0.606,Delhaize,Merito,Strijken | Spray,3.35,0,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-22143,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Strijken/Strijken-Spray/p/S1993072700162080000,5163
Colruyt,LIPTON,Ice Tea Original bruisend,1.67,Delhaize,Lipton,Ice Tea | Original | Bruisend,12.09,1,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-1064,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Original/Ice-Tea-Original-Bruisend/p/S2014121602194210000,5164
Colruyt,LIPTON,Ice Tea Original bruisend,1.67,Delhaize,Scholl,Express pedi | Voetvijl | Electron,33.85,0,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-1064,https://www.delhaize.be/nl-be/shop/Hygiene-en-verzorging/Parafarmaceutische-producten/Voetverzorging/Express-pedi-Voetvijl-Electron/p/S2016060803654120000,5165
Colruyt,LIPTON,Ice Tea Original bruisend,2.12,Delhaize,Lipton,Ice Tea | Original | 6x1 L,12.99,1,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-43049,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Original/Ice-Tea-Original-6x1-L/p/S2020031700408880099,5166
Colruyt,LIPTON,Ice Tea Original bruisend,2.12,Delhaize,Silan,Fresh | Control Ice Blue | 1.25L | 50 DS,5.15,0,https://www.colruyt.be/nl/producten/ice-tea-original bruisend-43049,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Wasverzachters/Fresh-Control-Ice-Blue-1-25L-50-DS/p/S2020020400355150000,5167
Colruyt,LIPTON,Ice Tea Peach,0.586,Delhaize,Febreze,Textiel Classic 500ml,5.15,0,https://www.colruyt.be/nl/producten/ice-tea-peach-5434,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Wasverzorging/Ontgeurder/Textiel-Classic-500ml/p/S2019122400337360000,5168
Colruyt,LIPTON,Ice Tea Peach,0.586,Delhaize,Lipton,Ijsthee | Perzik | 8x33 cl,6.55,1,https://www.colruyt.be/nl/producten/ice-tea-peach-5434,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Peche/Ijsthee-Perzik-8x33-cl/p/S2019102800317950099,5169
Colruyt,LIPTON,Ice Tea Peach,0.95,Delhaize,Lipton,Ice Tea | Peach | Niet Bruisend,8.89,1,https://www.colruyt.be/nl/producten/ice-tea-peach-21874,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Peche/Ice-Tea-Peach-Niet-Bruisend/p/S2009032502194420000,5170
Colruyt,LIPTON,Ice Tea Peach,0.95,Delhaize,Lipton,Ice Tea | ZERO sugar | Bruisend,9.49,0,https://www.colruyt.be/nl/producten/ice-tea-peach-21874,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Original/Ice-Tea-ZERO-sugar-Bruisend/p/S2009032502194410000,5171
Colruyt,LIPTON,Ice Tea Peach,1.88,Delhaize,Lipton,Ice Tea | Peach | Niet Bruisend,12.49,1,https://www.colruyt.be/nl/producten/ice-tea-peach-5425,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Peche/Ice-Tea-Peach-Niet-Bruisend/p/S2009032502194390000,5172
Colruyt,LIPTON,Ice Tea Peach,1.88,Delhaize,Tönissteiner,Limonade | Orange | PET,8.69,0,https://www.colruyt.be/nl/producten/ice-tea-peach-5425,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Andere-bruisende-frisdranken/Orange/Limonade-Orange-PET/p/S2008100100193980000,5173
Colruyt,LIPTON,Ice Tea Zero Green,1.49,Delhaize,Dash,"Waspoeder | Wasdraadfris | 2,6 kg | 40DS",15.49,0,https://www.colruyt.be/nl/producten/ice-tea-zero green-23030,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Wasmiddel/Poeder/Waspoeder-Wasdraadfris-2-6-kg-40DS/p/S2020012900352930000,5174
Colruyt,LIPTON,Ice Tea Zero Green,1.49,Delhaize,Lipton,Suikervrije Ijsthee | Green Zero | 6x50 cl,9.49,1,https://www.colruyt.be/nl/producten/ice-tea-zero green-23030,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Green/Suikervrije-Ijsthee-Green-Zero-6x50-cl/p/S2019111500323560099,5175
Colruyt,LIPTON,Ice Tea Zero Peach,0.856,Delhaize,Lipton,| Perzik | Zero,6.99,1,https://www.colruyt.be/nl/producten/ice-tea-zero peach-23090,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Peche/Lipton-Perzik-Zero/p/S2020042800424670099,5176
Colruyt,LIPTON,Ice Tea Zero Peach,0.856,Delhaize,Vanish,Spray ontvlekker | Gold,6.19,0,https://www.colruyt.be/nl/producten/ice-tea-zero peach-23090,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Wasverzorging/Vlekverwijderaars/Spray-ontvlekker-Gold/p/S2020032500413130000,5177
Colruyt,LIPTON,Ice Tea Zero Peach,1.48,Delhaize,Dash,"Waspoeder | Regular | 4,68 kg | 72DS",24.99,0,https://www.colruyt.be/nl/producten/ice-tea-zero peach-23031,https://www.delhaize.be/nl-be/shop/Onderhoudsproducten/Wassen/Wasmiddel/Poeder/Waspoeder-Regular-4-68-kg-72DS/p/S2020020600356730000,5178
Colruyt,LIPTON,Ice Tea Zero Peach,1.48,Delhaize,Lipton,Suikervrije Ijsthee | Perzik Zero | 6x50 cl,8.89,1,https://www.colruyt.be/nl/producten/ice-tea-zero peach-23031,https://www.delhaize.be/nl-be/shop/Dranken-en-alcohol/Frisdrank/Iced-tea/Peche/Suikervrije-Ijsthee-Perzik-Zero-6x50-cl/p/S2019121300334580099,5179
Colruyt,LIPTON,Lemon/Forest/tropical fruit,1.59,Carrefour,Arthur,"Grano Pops Gepofte Spelt, Haver & Quinoa met Chocolade 215 g",3.35,0,https://www.colruyt.be/nl/producten/lemon/forest/tropical-fruit-22218,https://drive.carrefour.be/nl//Kruidenierswaren/Ontbijt/Ontbijtgranen/Ontbijtgranen/Arthur%7CGrano-Pops-Gepofte-Spelt%2C-Haver-%26-Quinoa-met-Chocolade-215-g/p/06765835,5180
Colruyt,LIPTON,Lemon/Forest/tropical fruit,1.59,Carrefour,Light & Free,Skyr Framboos rijk aan Proteïnen 2 x 145 g,2.44,0,https://www.colruyt.be/nl/producten/lemon/forest/tropical-fruit-22218,https://drive.carrefour.be/nl//Verse-producten/Zuivel/Yoghurt-%26-platte-kaas/Yoghurt-%26-alternatieven/Fruit-%26-gearomatiseerd/Light-%26-Free%7CSkyr-Framboos-rijk-aan-Prote%C3%AFnen-2-x-145-g/p/06213860,5181
Colruyt,LIPTON,Lemon/Forest/tropical fruit,1.59,Carrefour,Lipton,Black Tea Tropical Fruits 36 g,2.75,1,https://www.colruyt.be/nl/producten/lemon/forest/tropical-fruit-22218,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Kruidenthee/Lipton%7CBlack-Tea-Tropical-Fruits-36-g/p/06703182,5182
Colruyt,LIPTON,Lemon/Forest/tropical fruit,1.59,Carrefour,Lipton,Pyramide  Zwarte thee Bosvruchten 20 zakjes,2.75,1,https://www.colruyt.be/nl/producten/lemon/forest/tropical-fruit-22218,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Kruidenthee/Lipton%7CPyramide-Zwarte-thee-Bosvruchten-20-zakjes/p/06701120,5183
Colruyt,LIPTON,Lemon/Forest/tropical fruit,1.59,Carrefour,Lipton,Pyramides Zwarte thee Citroen 20 theezakjes,2.75,1,https://www.colruyt.be/nl/producten/lemon/forest/tropical-fruit-22218,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Thee/Lipton%7CPyramides-Zwarte-thee-Citroen-20-theezakjes/p/06701119,5184
Colruyt,LIPTON,Lemon/Forest/tropical fruit,1.59,Carrefour,Président,La Brique Fondante Maxi Formaat 220 g,3.55,0,https://www.colruyt.be/nl/producten/lemon/forest/tropical-fruit-22218,https://drive.carrefour.be/nl//Verse-producten/Zuivel/Kazen/Camembert-%26-brie/Pr%C3%A9sident%7CLa-Brique-Fondante-Maxi-Formaat-220-g/p/05456799,5185
Colruyt,LIPTON,Linden Tilia infusion,2.59,Carrefour,Carrefour,Selection Espresso Laos 10 Capsules 52 g,2.39,0,https://www.colruyt.be/nl/producten/linden-tilia-infusion-22239,https://drive.carrefour.be/nl//Kruidenierswaren/Ontbijt/Koffie/Nespresso-compatibel-Capsules/Carrefour-Selection%7CEspresso-Laos-10-Capsules-52-g/p/06746660,5186
Colruyt,LIPTON,Linden Tilia infusion,2.59,Carrefour,Lipton,Pyramides Kruidenthee Linden 20 theezakjes,2.75,1,https://www.colruyt.be/nl/producten/linden-tilia-infusion-22239,https://drive.carrefour.be/nl//Dranken/Warme-dranken/Thee-%26-kruidenthee/Thee/Lipton%7CPyramides-Kruidenthee-Linden-20-theezakjes/p/06703250,5187
