id,left_brand,left_productName,left_price,right_brand,right_productName,right_price
1000056,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI,koffie mousse,1.0900
1000057,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI BIO,koffie gemalen Kachalù,8.5900
1000058,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,DOUWE EGBERTS,koffie Mildou,3.7900
1000059,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,EVERYDAY,koffie gemalen Mild,4.9800
1000060,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,OXFAM FAIRTRADE,koffie Highland bio,4.6500
1000061,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,EVERYDAY,koffie gemalen Robusta,1.9900
1000062,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI BIO,koffie gemalen dessert FT,6.5800
1000063,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,GRAINDOR,UTZ espresso gemalen,4.9900
1000064,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,GRAINDOR,Santa Anita RF gemalen,7.2900
1000065,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,GRAINDOR,Cerrado RF gemalen,8.9900
1000066,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,GRAINDOR,Acatenango gemalen,8.2900
1000067,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI BIO,koffie gemalen Peru RFA,6.0600
1000068,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,GRAINDOR,Kivu gemalen,8.2900
1000069,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,GRAINDOR,UTZ mild gemalen,5.1800
1000070,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,GRAINDOR,UTZ intens gemalen,7.1900
1000071,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI,paashaas puur fairtrade,2.1900
1000072,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI,gemalen komijn,1.5500
1000073,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI,gemalen koriander,2.0600
1000074,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI,nootmuskaat gemalen,5.8400
1000075,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Moka Royal Lungo Intensiteit 08 Nespresso®* Compatibel 20 stuks,4.6800
1000076,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Dessert Lungo Intensiteit 06 Nespresso®* Compatibel 20 stuks,4.6800
1000077,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Bonen Dessert 500 g,8.6000
1000078,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Nescafé,Koffie SELECT Bokaal 50 g,3.5300
1000079,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Nescafé,Koffie SELECT Bokaal 200 g,7.0600
1000080,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Senseo,Koffie Pads Latte 8 Stuks,3.3600
1000081,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Jacqmotte,Koffie Bonen Espresso 500g,9.8800
1000082,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Bonen Espresso 1kg,16.6500
1000083,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso India Intensiteit 10 Nespresso®* Compatibel 10 stuks,3.6900
1000084,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Koffie Starbucks Caramel Macchiato by NESCAFÉ DOLCE GUSTO 12 Capsules,4.6700
1000085,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Koffie STARBUCKS Latte Macchiato by NESCAFÉ DOLCE GUSTO 12 Capsules,4.6700
1000086,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Splendente Intensiteit 7 Nespresso®* Compatibel 10 stuks,3.5900
1000087,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Gemalen Aroma 250 g,4.8900
1000088,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Gemalen Black 250 g,4.8900
1000089,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Ristretto Intensiteit 11 Nespresso®* Compatibel 10 stuks,3.5900
1000090,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Decaffeinato Intensiteit 6 Nespresso®* Compatibel 10 stuks,3.5900
1000091,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Colombia Intensiteit 8 Nespresso®* Compatibel 10 stuks,3.6900
1000092,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Original Espresso Intensiteit 07 Nespresso®* Compatibel 20 stuks,5.4000
1000093,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Dark Espresso Intensiteit 10 Nespresso®* Compatibel 20 stuks,5.4000
1000094,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Koffie Starbucks by NESPRESSO Single-Origin Colombia 10 capsules,4.1300
